last_k,method,layer_name,block_id,proj_type,rel_recon_error_x,rel_recon_error_w,rel_linear_error
11,Ours,block5.out_proj,-1,out_proj,0.06186231031650763,0.033179489653556465,0.14404823859975854
11,Ours,block5.q_proj,-1,q_proj,0.04052255519670884,0.04353153780397884,0.12371502752839328
11,Ours,block5.v_proj,-1,v_proj,0.04086569770769531,0.03293472293937108,0.11991914360876547
11,Ours,block6.k_proj,-1,k_proj,0.041420548413799226,0.044842166079962956,0.14380031394756182
11,Ours,block6.out_proj,-1,out_proj,0.05505224960138692,0.033387501135873014,0.12145515138898287
11,Ours,block6.q_proj,-1,q_proj,0.04143350048443057,0.04214486182412337,0.14523722919922083
11,Ours,block6.v_proj,-1,v_proj,0.041643606632431565,0.03657604438601338,0.12635922311571318
11,Ours,block7.k_proj,-1,k_proj,0.041621881291221755,0.04929311591722155,0.15290504704682478
11,Ours,block7.out_proj,-1,out_proj,0.060678823393451466,0.033566158387642445,0.1529966491207161
11,Ours,block7.q_proj,-1,q_proj,0.04155175126975716,0.048584455574163014,0.11647178100476241
11,Ours,block7.v_proj,-1,v_proj,0.04180750303614314,0.034061297487848134,0.12045899928761819
11,Ours,block8.k_proj,-1,k_proj,0.04517174640818647,0.04307645905959438,0.1200278187791486
11,Ours,block8.out_proj,-1,out_proj,0.06619682824810466,0.03496160359121286,0.139781270784744
11,Ours,block8.q_proj,-1,q_proj,0.044952356829646635,0.051325404130383584,0.11193423178918252
11,Ours,block8.v_proj,-1,v_proj,0.04547381362640704,0.031226137257749458,0.11865057660856805
11,Ours,block9.k_proj,-1,k_proj,0.046411575449272297,0.04172830368322004,0.11213549956531386
11,Ours,block9.out_proj,-1,out_proj,0.06686992227990377,0.03141859601772382,0.148547995696627
11,Ours,block9.q_proj,-1,q_proj,0.04605470724988731,0.03997419223055069,0.10583653964810767
11,Ours,block9.v_proj,-1,v_proj,0.046543113551963486,0.03334843872625009,0.11350122181018238
11,SQ,block1.k_proj,-1,k_proj,0.5523459499778828,0.17301048331460317,0.20931954161657065
11,SQ,block1.out_proj,-1,out_proj,0.2026156324817564,0.7242684846713838,0.7178210699312849
11,SQ,block1.q_proj,-1,q_proj,0.5523459499778828,0.13085965294468355,0.21302945112137273
11,SQ,block1.v_proj,-1,v_proj,0.5523459499778828,0.17406056017017296,0.6873113890423564
11,SQ,block10.k_proj,-1,k_proj,0.8058087776561967,0.2246914870283179,0.38407211234485944
11,SQ,block10.out_proj,-1,out_proj,0.29943780063806125,0.28051186835322084,0.6938099204839964
11,SQ,block10.q_proj,-1,q_proj,0.8058087776561967,0.2421869819683673,0.44950110959176537
11,SQ,block10.v_proj,-1,v_proj,0.8058087776561967,0.266270637077629,1.0387375135421955
11,SQ,block11.k_proj,-1,k_proj,0.9349665713404348,0.15906105662685394,0.7583575149213981
11,SQ,block11.out_proj,-1,out_proj,0.19241041790461222,0.7441546364892785,0.8297768731758811
11,SQ,block11.q_proj,-1,q_proj,0.9349665713404348,0.13703726190802296,0.8417960596512233
11,SQ,block11.v_proj,-1,v_proj,0.9349665713404348,0.4405761492800679,1.0346621764848403
11,SQ,block2.k_proj,-1,k_proj,0.28222992019148785,0.24950616501308995,0.2829672701294343
11,SQ,block2.out_proj,-1,out_proj,0.31293158440357915,0.7686297915388882,1.1233806474209136
11,SQ,block2.q_proj,-1,q_proj,0.28222992019148785,0.16641957412242053,0.25453038589412663
11,SQ,block2.v_proj,-1,v_proj,0.28222992019148785,0.14381295290785723,0.8071783042007551
11,SQ,block3.k_proj,-1,k_proj,0.2731392628981366,0.0847967081074489,0.2121748019039476
11,SQ,block3.out_proj,-1,out_proj,0.3338059579365222,0.8173835793520986,1.1199244030855693
11,SQ,block3.q_proj,-1,q_proj,0.2731392628981366,0.1335853141379243,0.2107994612973593
11,SQ,block3.v_proj,-1,v_proj,0.2731392628981366,0.2733508524587169,0.8895872553150433
11,SQ,block4.k_proj,-1,k_proj,0.3529840530218012,0.1330735848140936,0.21152909038886508
11,SQ,block4.out_proj,-1,out_proj,0.3519814432930119,0.4653306603967309,0.8705596196314853
11,SQ,block4.q_proj,-1,q_proj,0.3529840530218012,0.10886956811081006,0.2585270341798843
11,SQ,block4.v_proj,-1,v_proj,0.3529840530218012,0.2919146543521267,0.884442493223753
11,SQ,block5.k_proj,-1,k_proj,0.37816562972269774,0.15023236889692587,0.1833934811123231
11,SQ,block5.out_proj,-1,out_proj,0.26595116923222506,0.25697084771922646,0.7943195933106312
11,SQ,block5.q_proj,-1,q_proj,0.37816562972269774,0.14777021194180184,0.2335481436729179
11,SQ,block5.v_proj,-1,v_proj,0.37816562972269774,0.09172030032185842,0.840691403568569
